timestamp,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Global radiation,Precipitation Total
20200213T1000,24.219213,53.61702,384.47998,185.21208,199.2679,583.74788,0
20200213T1100,25.999214,53.61702,784.98,544.9601,240.0199,1024.9999,0
20200213T1200,27.029213,53.61702,862.41,617.72003,244.68996,1107.09996,0
20200213T1300,27.829214,53.61702,886.44,635.87634,250.56367,1137.00367,0
20200213T1400,28.279213,53.61702,851.73,595.6162,256.11377,1107.84377,0
20200213T1500,28.319214,53.61702,737.81,497.43344,240.37656,978.18656,0
20200213T1600,27.619213,53.61702,579.39,362.70648,216.68355,796.07355,0
20200213T1700,26.149214,53.61702,385.37,226.62436,158.74564,544.11564,0
20200213T1800,23.729214,60,161.98,88.24061,73.73939,235.71939,0
20200213T1900,21.419214,14.233688,3.56,2.7648387,0.7951611,4.3551611,0
20200213T2000,21.679214,0,0,0,0,0,0
20200213T2100,19.919214,0,0,0,0,0,0
20200213T2200,19.419214,0,0,0,0,0,0
20200213T2300,19.089214,0,0,0,0,0,0
20200214T0000,18.699215,0,0,0,0,0,0
20200214T0100,18.549213,0,0,0,0,0,0
20200214T0200,18.679214,0,0,0,0,0,0
20200214T0300,18.409214,0,0,0,0,0,0
20200214T0400,18.199215,0,0,0,0,0,0
20200214T0500,18.039215,0,0,0,0,0,0
20200214T0600,17.939213,0,0,0,0,0,0
20200214T0700,17.819214,0,22.25,17.94321,4.3067884,26.5567884,0
20200214T0800,19.789215,0,162.87,147.93153,14.938457,177.808457,0
20200214T0900,20.899214,11.489361,210.93,67.931,142.999,353.929,0
20200214T1000,22.269215,53.61702,323.96,104.06656,219.89343,543.85343,0
20200214T1100,24.579214,44.04255,667.5,509.9408,157.55919,825.05919,0
20200214T1200,25.219213,53.61702,455.68,133.48795,322.19205,777.87205,0
20200214T1300,24.629213,53.61702,574.94,281.5629,293.3771,868.3171,0
20200214T1400,24.509214,53.61702,434.32,125.74646,308.57355,742.89355,0
20200214T1500,24.419214,53.61702,290.13998,35.456314,254.68367,544.82365,0
20200214T1600,24.969213,53.61702,307.94,129.94193,177.99808,485.93808,0
20200214T1700,24.179214,52.340427,339.09,202.44746,136.64253,475.73253,0
20200214T1800,22.209213,53.61702,103.24,56.257107,46.98289,150.22289,0
20200214T1900,20.519215,14.05266,3.56,2.68978,0.87021995,4.43021995,0
20200214T2000,19.579214,0,0,0,0,0,0
20200214T2100,19.949215,0,0,0,0,0,0
20200214T2200,19.859215,0,0,0,0,0,0
20200214T2300,19.439213,0,0,0,0,0,0
20200215T0000,18.799213,0,0,0,0,0,0
20200215T0100,18.149214,0,0,0,0,0,0
20200215T0200,17.629213,0,0,0,0,0,0
20200215T0300,17.399214,0,0,0,0,0,0
20200215T0400,17.259212,0,0,0,0,0,0
20200215T0500,17.129213,0,0,0,0,0,0
20200215T0600,17.079214,0,0,0,0,0,0
20200215T0700,18.249214,0,24.92,23.40973,1.5102694,26.4302694,0
20200215T0800,19.999214,0,196.69,117.63031,79.05969,275.74969,0
20200215T0900,22.439215,15.319151,469.03,284.48953,184.54047,653.57047,0
20200215T1000,23.679214,39.57447,509.97,409.23593,100.73407,610.70407,0
20200215T1100,24.759214,30,592.74,409.36945,183.37056,776.11056,0
20200215T1200,24.589214,33.82979,688.86,501.4508,187.40918,876.26918,0
20200215T1300,26.489214,53.61702,740.48,585.5079,154.9721,895.4521,0
20200215T1400,27.049213,53.61702,833.04,593.0699,239.97008,1073.01008,0
20200215T1500,26.139214,16.595745,423.63998,179.585,244.05498,667.69496,0
20200215T1600,25.249214,22.978725,269.66998,82.03175,187.63823,457.30821,0.2
20200215T1700,24.999214,53.61702,321.29,200.32947,120.96055,442.25055,0
20200215T1800,23.319214,59.61702,159.31,86.82923,72.48077,231.79077,0
20200215T1900,21.669214,14.129787,3.56,2.6404734,0.91952646,4.47952646,0
20200215T2000,20.329214,0,0,0,0,0,0
20200215T2100,19.479214,0,0,0,0,0,0
20200215T2200,20.089214,0,0,0,0,0,0
20200215T2300,19.729214,0,0,0,0,0,0
20200216T0000,19.399214,0,0,0,0,0,0
20200216T0100,19.249214,0,0,0,0,0,0
20200216T0200,19.049213,0,0,0,0,0,0
20200216T0300,18.889214,0,0,0,0,0,0
20200216T0400,18.809214,0,0,0,0,0,0
20200216T0500,18.759212,0,0,0,0,0,0
20200216T0600,18.719213,0,0,0,0,0,0
20200216T0700,18.639214,0,23.14,19.174664,3.9653354,27.1053354,0
20200216T0800,19.829214,0,153.08,124.22772,28.85228,181.93228,0
20200216T0900,21.659214,53.61702,329.3,253.03246,76.26753,405.56753,0
20200216T1000,23.249214,53.61702,398.72,203.35498,195.36502,594.08502,0
20200216T1100,25.439215,20.425533,671.06,512.94073,158.11928,829.17928,0
20200216T1200,24.559214,18.510641,332.86,19.601807,313.25818,646.11818,0.1
20200216T1300,24.929214,11.489361,293.69998,-8.7196045,302.4196,596.11958,0.2
20200216T1400,25.949213,19.148937,459.24,153.38327,305.85672,765.09672,0.2
20200216T1500,26.219213,17.234043,437.88,198.80713,239.07288,676.95288,0.1
20200216T1600,26.259214,53.61702,386.25998,252.31595,133.94403,520.20401,0
20200216T1700,25.839214,53.61702,383.59,225.7973,157.7927,541.3827,0
20200216T1800,23.789213,53.61702,153.97,83.936386,70.033615,224.003615,0
20200216T1900,21.739214,12.573937,3.56,2.5927022,0.9672978,4.5272978,0
20200216T2000,21.379213,0,0,0,0,0,0
20200216T2100,20.919214,0,0,0,0,0,0
20200216T2200,20.369213,0,0,0,0,0,0
20200216T2300,19.999214,0,0,0,0,0,0
20200217T0000,19.759212,0,0,0,0,0,0
20200217T0100,19.399214,0,0,0,0,0,0
20200217T0200,18.949215,0,0,0,0,0,0
20200217T0300,18.519215,0,0,0,0,0,0
20200217T0400,18.089214,0,0,0,0,0,0
20200217T0500,17.679214,0,0,0,0,0,0
20200217T0600,17.379213,0,0,0,0,0,0
20200217T0700,18.559214,0,22.25,17.078949,5.171052,27.421052,0
20200217T0800,19.939213,0,166.43,151.97118,14.4588175,180.8888175,0
20200217T0900,22.709213,59.61702,431.65,274.64197,157.00801,588.65801,0
20200217T1000,25.199213,53.61702,618.55,422.67548,195.87453,814.42453,0
20200217T1100,26.789213,53.61702,791.20996,550.76404,240.4459,1031.65586,0
20200217T1200,27.819214,53.61702,866.86,623.3528,243.50717,1110.36717,0
20200217T1300,28.289213,53.61702,885.55,640.03613,245.51387,1131.06387,0
20200217T1400,28.579214,53.61702,840.16,596.9032,243.25676,1083.41676,0
20200217T1500,28.539213,53.61702,738.7,501.2735,237.4265,976.1265,0
20200217T1600,27.939215,53.61702,582.06,364.99188,217.0681,799.1281,0
20200217T1700,26.859213,53.61702,388.04,228.4845,159.55551,547.59551,0
20200217T1800,24.899214,60,167.31999,91.23305,76.086945,243.406935,0
20200217T1900,23.079214,15.433333,3.56,2.545917,1.0140828,4.5740828,0
20200217T2000,21.759214,0,0,0,0,0,0
20200217T2100,21.459213,0,0,0,0,0,0
20200217T2200,21.249214,0,0,0,0,0,0
20200217T2300,20.769215,0,0,0,0,0,0
20200218T0000,20.049213,0,0,0,0,0,0
20200218T0100,18.519215,0,0,0,0,0,0
20200218T0200,18.529213,0,0,0,0,0,0
20200218T0300,18.379213,0,0,0,0,0,0
20200218T0400,18.139214,0,0,0,0,0,0
20200218T0500,17.829214,0,0,0,0,0,0
20200218T0600,17.489214,0,0,0,0,0,0
20200218T0700,17.999214,0,22.25,16.79123,5.4587717,27.7087717,0
20200218T0800,20.109215,0,181.56,116.3935,65.1665,246.7265,0
20200218T0900,23.149214,53.61702,467.25,283.81656,183.43344,650.68344,0
20200218T1000,25.749214,60,679.07,436.14032,242.92969,921.99969,0
20200218T1100,27.389214,60,837.49,561.74036,275.74966,1113.23966,0
20200218T1200,28.469213,53.61702,890.89,630.65454,260.23547,1151.12547,0
